hostel_id,hostel_password,student_status,student_room
S002,1212,present,122
S003,sssspresent1001present,,
S004,helloPass321,Present,104
S005,lockKey234,Absent,105
S006,safePass567,Present,106
S007,passMe998,guest,Present
S008,wordPass001,Absent,Present
S009,secureWord112,Present,Absent
S010,passKey223,Absent,110
43543212325432,vdcsdawe,guestroom,guest
S002,1212,present,122
S002,1212,present,122
34104929271011,12345,guestroom,Guest
34104343232,11111,guestroom,Guest
34201-9281097-1,zoh@ib880,guestroom,Guest
